方向	入场时间	入场价	出场时间	出场价	盈利(USDT)	收益率%	持仓	市场状态	指纹摘要
LONG	01-25 06:38	104283.10	01-25 10:38	104369.90	2.32	0.02	240		#long|ma5 率74% 分73
LONG	01-25 20:55	104980.00	01-26 00:55	104544.60	-47.49	-0.47	240		#long|con 率74% 分71
LONG	01-26 06:56	104945.40	01-26 10:56	104581.20	-40.52	-0.41	240		#long|con 率72% 分70
LONG	01-26 23:38	102838.70	01-27 00:47	102015.99	-85.26	-0.86	69		#long|bol 率70% 分72
LONG	01-27 04:32	100778.40	01-27 05:49	99972.17	-84.53	-0.86	77		#long|atr 率71% 分70
LONG	01-27 07:01	98833.80	01-27 07:29	98043.13	-83.80	-0.86	28		#long|atr 率71% 分64
SHORT	01-27 08:11	98991.60	01-27 12:11	99114.50	-17.79	-0.18	240		#short|co 率56% 分68
LONG	01-27 17:08	99340.10	01-27 17:35	99936.14	52.07	0.54	27		#long|atr 率70% 分64
LONG	01-28 01:42	101489.30	01-28 02:40	102098.24	52.35	0.54	58		#long|bol 率72% 分66
LONG	01-28 07:03	102539.60	01-28 07:23	103154.84	52.64	0.54	20		#long|con 率72% 分74
SHORT	01-28 15:23	103057.40	01-28 15:31	103675.74	-64.68	-0.66	8		#short|co 率68% 分69
SHORT	01-28 17:00	102213.70	01-28 17:09	102826.98	-64.25	-0.66	9		#short|co 率56% 分68
SHORT	01-28 18:12	103000.00	01-28 18:55	102176.00	71.57	0.74	43		#short|cl 率56% 分68
LONG	01-28 20:43	101866.30	01-28 21:34	101051.37	-83.79	-0.86	51		#long|atr 率71% 分70
LONG	01-29 11:35	102554.10	01-29 13:30	101733.67	-83.07	-0.86	115		#long|atr 率78% 分60
LONG	01-29 15:58	101967.60	01-29 17:34	102579.41	51.71	0.54	96		#long|low 率70% 分73
LONG	01-29 19:30	101753.20	01-29 19:32	102363.72	51.99	0.54	2		#long|ma5 率71% 分72
LONG	01-29 20:19	103634.20	01-29 20:25	104256.01	52.27	0.54	6		#long|atr 率72% 分76
SHORT	01-29 20:51	104335.20	01-29 22:01	103500.52	72.01	0.74	70		#short|co 率56% 分63
SHORT	01-30 05:19	105336.70	01-30 09:19	105176.00	9.07	0.09	240		#short|at 率57% 分68
LONG	01-30 14:09	104916.10	01-30 14:49	105545.60	52.99	0.54	40		#long|atr 率70% 分58
LONG	01-30 20:31	105499.10	01-30 23:58	104655.11	-84.85	-0.86	207		#long|j_l 率69% 分65
LONG	01-31 02:51	104330.20	01-31 06:51	104550.30	14.77	0.15	240		#long|ma5 率74% 分73
SHORT	01-31 12:45	104657.90	01-31 15:31	105285.85	-64.65	-0.66	166		#short|co 率57% 分59
LONG	01-31 19:08	102488.40	01-31 20:22	101668.49	-83.69	-0.86	74		#long|ma5 率74% 分73
LONG	01-31 21:10	101674.60	01-31 22:29	102284.65	52.10	0.54	79		#long|atr 率78% 分60
LONG	02-01 03:41	102187.40	02-01 07:41	102208.70	-3.80	-0.04	240		#long|con 率72% 分74
LONG	02-01 14:15	101860.00	02-01 18:15	102136.00	20.45	0.21	240		#long|bol 率67% 分61
SHORT	02-01 21:20	101485.30	02-01 22:20	100673.42	71.90	0.74	60		#short|at 率57% 分68
LONG	02-02 03:08	100200.10	02-02 03:28	99398.50	-84.18	-0.86	20		#long|atr 率68% 分70
LONG	02-02 03:43	99411.90	02-02 05:35	100008.37	52.40	0.54	112		#long|j_l 率67% 分59
SHORT	02-02 06:10	100265.50	02-02 08:12	99463.38	72.20	0.74	122		#short|co 率57% 分71
LONG	02-02 10:36	99306.70	02-02 12:36	98512.25	-84.52	-0.86	120		#long|atr 率70% 分71
LONG	02-02 17:16	98137.20	02-02 17:50	97352.10	-83.80	-0.86	34		#long|low 率74% 分74
SHORT	02-02 20:03	98537.80	02-02 20:46	97749.50	71.49	0.74	43		#short|co 率70% 分84
LONG	02-02 21:10	97677.90	02-02 21:29	96896.48	-83.69	-0.86	19		#long|bol 率67% 分61
SHORT	02-02 22:01	97378.10	02-02 22:31	96599.08	71.39	0.74	30		#short|cl 率56% 分68
LONG	02-02 22:53	97164.80	02-02 22:58	97747.79	52.48	0.54	5		#long|atr 率86% 分76
LONG	02-02 23:24	96862.70	02-02 23:37	97443.88	52.77	0.54	13		#long|atr 率69% 分68
SHORT	02-03 00:25	97199.90	02-03 00:41	96422.30	72.70	0.74	16		#short|cl 率56% 分69
LONG	02-03 00:44	95591.80	02-03 00:45	96165.35	53.45	0.54	1		#long|atr 率69% 分68
SHORT	02-03 01:58	93613.90	02-03 02:04	92864.99	73.64	0.74	6		#short|cl 率56% 分69
SHORT	02-03 02:10	93165.90	02-03 02:11	93724.90	-66.16	-0.66	1		#short|cl 率58% 分66
SHORT	02-03 02:12	93680.50	02-03 02:14	94242.58	-65.72	-0.66	2		#short|cl 率62% 分80
SHORT	02-03 02:16	94364.50	02-03 02:21	94930.69	-65.29	-0.66	5		#short|cl 率56% 分69
LONG	02-03 02:24	94062.60	02-03 02:33	93310.10	-84.51	-0.86	9		#long|atr 率72% 分72
LONG	02-03 04:27	93271.50	02-03 05:33	93831.13	52.61	0.54	66		#long|atr 率71% 分74
SHORT	02-03 05:48	93785.20	02-03 06:27	94347.91	-64.65	-0.66	39		#short|co 率59% 分65
LONG	02-03 07:11	93930.10	02-03 07:41	94493.68	52.55	0.54	30		#long|k_l 率77% 分67
LONG	02-03 08:36	94968.30	02-03 09:02	95538.11	52.83	0.54	26		#long|atr 率67% 分67
LONG	02-03 11:52	94981.90	02-03 12:21	95551.79	53.11	0.54	29		#long|bol 率72% 分62
SHORT	02-03 14:31	95156.90	02-03 14:33	95727.84	-65.27	-0.66	2		#short|cl 率56% 分68
SHORT	02-03 14:34	96008.40	02-03 14:58	96584.45	-64.84	-0.66	24		#short|cl 率62% 分80
SHORT	02-03 18:18	99353.40	02-03 19:00	99949.52	-64.41	-0.66	42		#short|co 率56% 分68
SHORT	02-03 19:17	100390.00	02-03 19:38	100992.34	-63.98	-0.66	21		#short|cl 率56% 分68
SHORT	02-03 22:08	102440.50	02-03 22:15	101620.98	71.27	0.74	7		#short|cl 率56% 分68
LONG	02-03 22:33	101610.80	02-04 01:13	100797.91	-83.44	-0.86	160		#long|atr 率75% 分84
LONG	02-04 05:34	98217.20	02-04 05:42	98806.50	51.94	0.54	8		#long|clo 率71% 分71
LONG	02-04 09:17	98389.60	02-04 11:04	98979.94	52.22	0.54	107		#long|atr 率75% 分84
SHORT	02-04 11:28	99278.20	02-04 14:33	99873.87	-64.17	-0.66	185		#short|bo 率55% 分62
LONG	02-04 15:13	99112.50	02-04 15:17	98319.60	-83.06	-0.86	4		#long|atr 率69% 分68
LONG	02-04 15:44	99006.00	02-04 16:13	99600.04	51.71	0.54	29		#long|bol 率67% 分61
SHORT	02-04 19:01	99440.50	02-04 19:15	100037.14	-63.54	-0.66	14		#short|at 率63% 分61
LONG	02-04 19:46	99749.90	02-04 19:52	98951.90	-82.25	-0.86	6		#long|atr 率68% 分68
LONG	02-04 20:14	98529.30	02-04 21:02	97741.07	-81.54	-0.86	48		#long|bol 率72% 分62
LONG	02-04 21:55	96516.10	02-04 22:18	97095.20	50.76	0.54	23		#long|atr 率71% 分64
LONG	02-05 01:48	98106.40	02-05 02:23	97321.55	-81.27	-0.86	35		#long|low 率74% 分74
