方向	入场时间	入场价	出场时间	出场价	盈利(USDT)	收益率%	持仓	市场状态	指纹摘要
SHORT	10-17 08:25	105296.30	持仓中	--	--	--	已持104根		--
LONG	10-09 14:21	121965.00	10-09 14:46	120989.28	-86.00	-0.86	25		#long|atr 率71% 分70
LONG	10-09 16:41	120664.10	10-09 16:59	119698.79	-85.26	-0.86	18		#long|atr 率71% 分74
LONG	10-10 14:42	121145.30	10-10 15:01	120176.14	-84.53	-0.86	19		#long|j_s 率80% 分84
LONG	10-10 16:15	118771.00	10-10 17:05	117820.83	-83.80	-0.86	50		#long|j_s 率80% 分84
LONG	10-10 19:29	116001.30	10-10 19:41	116697.31	52.17	0.54	12		#long|atr 率67% 分67
SHORT	10-10 20:44	116970.00	10-10 20:52	116034.24	71.87	0.74	8		#short|at 率56% 分69
LONG	10-10 21:26	106672.80	10-10 21:27	107312.84	52.84	0.54	1		#long|bol 率80% 分81
LONG	10-10 21:51	112371.50	10-10 21:52	113045.73	53.12	0.54	1		#long|atr 率72% 分72
LONG	10-10 22:01	112903.10	10-10 22:05	111999.88	-85.06	-0.86	4		#long|clo 率70% 分73
SHORT	10-11 02:03	111591.90	10-11 02:23	112261.45	-64.72	-0.66	20		#short|cl 率56% 分68
SHORT	10-11 09:05	111459.90	10-11 10:28	112128.66	-64.29	-0.66	83		#short|bo 率56% 分65
LONG	10-11 19:42	111027.90	10-11 20:54	110139.68	-83.22	-0.86	72		#long|ma5 率72% 分72
LONG	10-11 20:56	109600.00	10-11 20:58	110257.60	51.80	0.54	2		#long|atr 率71% 分74
SHORT	10-11 23:23	110910.70	10-12 00:24	110023.41	71.37	0.74	61		#short|at 率56% 分69
LONG	10-12 01:45	110123.80	10-12 03:09	110784.54	52.47	0.54	84		#long|atr 率72% 分76
LONG	10-12 14:58	112078.40	10-12 15:04	112750.87	52.75	0.54	6		#long|atr 率67% 分70
SHORT	10-12 15:19	113600.10	10-12 15:32	112691.30	72.68	0.74	13		#short|cl 率60% 分75
LONG	10-12 17:51	113579.80	10-12 19:12	114261.28	53.43	0.54	81		#long|atr 率71% 分74
SHORT	10-12 19:33	114248.90	10-12 20:28	114934.39	-65.65	-0.66	55		#short|bo 率55% 分62
SHORT	10-12 20:51	115117.40	10-13 00:20	115808.10	-65.22	-0.66	209		#short|at 率56% 分69
SHORT	10-13 01:45	115665.40	10-13 03:42	114740.08	72.64	0.74	117		#short|bo 率61% 分70
LONG	10-13 05:04	114521.80	10-13 06:32	115208.93	53.40	0.54	88		#long|atr 率70% 分64
SHORT	10-13 13:30	114823.70	10-13 14:30	113905.11	73.58	0.74	60		#short|cl 率56% 分68
LONG	10-13 14:46	114226.30	10-13 16:08	114911.66	54.09	0.54	82		#long|atr 率71% 分70
LONG	10-14 02:40	113946.40	10-14 04:39	113034.83	-86.61	-0.86	119		#long|low 率74% 分74
LONG	10-14 07:26	112060.00	10-14 09:48	111163.52	-85.86	-0.86	142		#long|atr 率75% 分65
LONG	10-14 10:49	110272.90	10-14 11:07	110934.54	53.45	0.54	18		#long|k_l 率77% 分67
SHORT	10-14 11:51	111464.90	10-14 13:11	110573.18	73.64	0.74	80		#short|bo 率55% 分62
LONG	10-14 13:37	109875.70	10-14 13:44	110534.95	54.14	0.54	7		#long|atr 率71% 分74
SHORT	10-14 13:45	110940.50	10-14 14:14	111606.14	-66.52	-0.66	29		#short|cl 率60% 分75
SHORT	10-14 16:17	112591.90	10-14 17:01	111691.16	74.09	0.74	44		#short|co 率56% 分68
SHORT	10-14 17:45	112599.10	10-14 18:13	113274.69	-66.57	-0.66	28		#short|at 率56% 分69
SHORT	10-14 23:29	113380.40	10-15 01:07	112473.36	74.15	0.74	98		#short|ma 率56% 分64
SHORT	10-15 04:57	112307.80	10-15 08:20	112981.65	-66.62	-0.66	203		#short|bo 率59% 分65
SHORT	10-15 13:37	111803.70	10-15 13:46	110909.27	74.21	0.74	9		#short|at 率56% 分69
SHORT	10-15 16:20	110898.20	10-15 20:20	111491.30	-60.09	-0.59	240		#short|co 率74% 分73
LONG	10-16 07:49	110741.50	10-16 09:34	109855.57	-86.36	-0.86	105		#long|atr 率71% 分70
SHORT	10-16 10:13	111458.80	10-16 14:02	110567.13	73.67	0.74	229		#short|co 率59% 分65
LONG	10-16 16:27	108121.70	10-16 16:55	108770.43	54.16	0.54	28		#long|atr 率67% 分61
LONG	10-16 18:28	107750.00	10-16 18:41	108396.50	54.45	0.54	13		#long|j_l 率67% 分59
LONG	10-16 19:36	107966.10	10-16 23:36	108091.90	5.73	0.06	240		#long|atr 率79% 分49
LONG	10-17 00:02	108008.40	10-17 00:40	108656.45	54.78	0.54	38		#long|atr 率78% 分60
LONG	10-17 01:58	108735.20	10-17 05:58	108310.70	-45.93	-0.45	240		#long|atr 率68% 分61
LONG	10-17 07:37	106074.40	10-17 08:03	105225.80	-87.31	-0.86	26		#long|low 率74% 分74
