事件	时间	方向	价格	止损	止盈	说明
tp1_partial	06-13 16:19	LONG	105909.37	105119.78	105909.37	盈亏 +0.52% | 持仓 23 根 | 入场 105277.7
超时平仓	06-13 16:56	LONG	105714.30	105277.70	105909.37	盈亏 +0.33% | 持仓 60 根 | 入场 105277.7
开仓	06-13 20:05	LONG	105037.00	104196.70	105667.22	原因=signal | 20x杠杆
time_decay_sl	06-13 20:13	LONG	104721.89			
time_decay_sl	06-13 20:16	LONG	104879.44			
超时平仓	06-13 21:05	LONG	105364.50	104879.44	105667.22	盈亏 +0.23% | 持仓 60 根 | 入场 105037.0
开仓	06-13 23:50	LONG	105931.00	105083.55	106566.59	原因=signal | 20x杠杆
time_decay_sl	06-14 00:20	LONG	105613.21			
time_decay_sl	06-14 00:50	LONG	105772.10			
超时平仓	06-14 00:50	LONG	106007.90	105772.10	106566.59	盈亏 -0.01% | 持仓 60 根 | 入场 105931.0
开仓	06-14 02:58	LONG	105288.80	104446.49	105920.53	原因=signal | 20x杠杆
time_decay_sl	06-14 03:28	LONG	104972.93			
time_decay_sl	06-14 03:58	LONG	105130.87			
超时平仓	06-14 03:58	LONG	105183.30	105130.87	105920.53	盈亏 -0.18% | 持仓 60 根 | 入场 105288.8
开仓	06-14 06:31	LONG	105090.10	104249.38	105720.64	原因=signal | 20x杠杆
time_decay_sl	06-14 06:42	LONG	104774.83			
time_decay_sl	06-14 06:47	LONG	104932.46			
止损	06-14 07:08	LONG	104932.46	104932.46	105720.64	盈亏 -0.23% | 持仓 37 根 | 入场 105090.1
开仓	06-14 10:23	SHORT	104892.00	105521.35	104052.86	原因=signal | 20x杠杆
time_decay_sl	06-14 10:41	SHORT	105206.68			
time_decay_sl	06-14 10:48	SHORT	105049.34			
超时平仓	06-14 11:23	SHORT	105015.90	105049.34	104052.86	盈亏 -0.20% | 持仓 60 根 | 入场 104892.0
开仓	06-14 12:20	LONG	104891.40	104052.27	105520.75	原因=signal | 20x杠杆
time_decay_sl	06-14 12:50	LONG	104576.73			
time_decay_sl	06-14 13:20	LONG	104734.06			
超时平仓	06-14 13:20	LONG	104900.60	104734.06	105520.75	盈亏 -0.07% | 持仓 60 根 | 入场 104891.4
开仓	06-14 14:44	LONG	104840.00	104001.28	105469.04	原因=signal | 20x杠杆
time_decay_sl	06-14 15:14	LONG	104525.48			
time_decay_sl	06-14 15:44	LONG	104682.74			
止损	06-14 15:44	LONG	104682.74	104682.74	105469.04	盈亏 -0.23% | 持仓 60 根 | 入场 104840.0
开仓	06-14 16:39	LONG	104590.00	103753.28	105217.54	原因=signal | 20x杠杆
time_decay_sl	06-14 17:09	LONG	104276.23			
time_decay_sl	06-14 17:39	LONG	104433.12			
超时平仓	06-14 17:39	LONG	104530.00	104433.12	105217.54	盈亏 -0.14% | 持仓 60 根 | 入场 104590.0
开仓	06-14 17:54	LONG	104507.70	103671.64	105134.75	原因=signal | 20x杠杆
time_decay_sl	06-14 18:02	LONG	104194.18			
time_decay_sl	06-14 18:05	LONG	104350.94			
止损	06-14 18:41	LONG	104350.94	104350.94	105134.75	盈亏 -0.23% | 持仓 47 根 | 入场 104507.7
开仓	06-14 21:39	SHORT	105044.50	105674.77	104204.14	原因=signal | 20x杠杆
time_decay_sl	06-14 22:09	SHORT	105359.63			
止损	06-14 22:09	SHORT	105359.63	105359.63	104204.14	盈亏 -0.38% | 持仓 30 根 | 入场 105044.5
开仓	06-14 23:53	SHORT	105383.80	106016.10	104540.73	原因=signal | 20x杠杆
time_decay_sl	06-15 00:23	SHORT	105699.95			
time_decay_sl	06-15 00:53	SHORT	105541.88			
止损	06-15 00:53	SHORT	105541.88	105541.88	104540.73	盈亏 -0.23% | 持仓 60 根 | 入场 105383.8
开仓	06-15 06:02	LONG	105910.00	105062.72	106545.46	原因=signal | 20x杠杆
time_decay_sl	06-15 06:32	LONG	105592.27			
止损	06-15 06:32	LONG	105592.27	105592.27	106545.46	盈亏 -0.38% | 持仓 30 根 | 入场 105910.0
开仓	06-15 06:57	LONG	105387.60	104544.50	106019.93	原因=signal | 20x杠杆
time_decay_sl	06-15 07:03	LONG	105071.44			
time_decay_sl	06-15 07:06	LONG	105229.52			
止损	06-15 07:10	LONG	105229.52	105229.52	106019.93	盈亏 -0.23% | 持仓 13 根 | 入场 105387.6
开仓	06-15 08:33	LONG	105200.10	104358.50	105831.30	原因=signal | 20x杠杆
time_decay_sl	06-15 08:39	LONG	104884.50			
time_decay_sl	06-15 08:42	LONG	105042.30			
止损	06-15 09:03	LONG	105042.30	105042.30	105831.30	盈亏 -0.23% | 持仓 30 根 | 入场 105200.1
开仓	06-15 09:50	LONG	104865.60	104026.68	105494.79	原因=signal | 20x杠杆
time_decay_sl	06-15 09:56	LONG	104551.00			
time_decay_sl	06-15 09:59	LONG	104708.30			
超时平仓	06-15 10:50	LONG	105106.40	104708.30	105494.79	盈亏 +0.15% | 持仓 60 根 | 入场 104865.6
开仓	06-15 13:04	LONG	105237.50	104395.60	105868.93	原因=signal | 20x杠杆
time_decay_sl	06-15 13:11	LONG	104921.79			
time_decay_sl	06-15 13:13	LONG	105079.64			
超时平仓	06-15 14:04	LONG	105345.40	105079.64	105868.93	盈亏 +0.02% | 持仓 60 根 | 入场 105237.5
开仓	06-15 14:58	SHORT	105670.30	106304.32	104824.94	原因=signal | 20x杠杆
time_decay_sl	06-15 15:28	SHORT	105987.31			
time_decay_sl	06-15 15:58	SHORT	105828.81			
超时平仓	06-15 15:58	SHORT	105505.10	105828.81	104824.94	盈亏 +0.08% | 持仓 60 根 | 入场 105670.3
开仓	06-15 20:06	LONG	105101.60	104260.79	105732.21	原因=signal | 20x杠杆
time_decay_sl	06-15 20:14	LONG	104786.30			
time_decay_sl	06-15 20:17	LONG	104943.95			
止损	06-15 20:17	LONG	104943.95	104943.95	105732.21	盈亏 -0.23% | 持仓 11 根 | 入场 105101.6
开仓	06-15 20:36	LONG	104883.60	104044.53	105512.90	原因=signal | 20x杠杆
time_decay_sl	06-15 21:06	LONG	104568.95			
止损	06-15 21:07	LONG	104568.95	104568.95	105512.90	盈亏 -0.38% | 持仓 31 根 | 入场 104883.6
