方向	入场时间	入场价	出场时间	出场价	盈利(USDT)	收益率%	持仓	市场状态	指纹摘要
LONG	01-01 06:31	93576.10	01-01 07:31	93751.90	5.39	0.11	60		#long:bol 率71% 分40
LONG	01-02 04:06	94971.30	01-02 04:38	95541.13	18.22	0.52	32		#long:bol 率71% 分40
LONG	01-02 04:06	94971.30	01-02 05:06	95471.90	6.71	0.45	60		#long:bol 率71% 分40
LONG	01-02 21:21	97088.00	01-02 22:20	96796.74	-19.12	-0.38	59		#long:bol 率71% 分40
LONG	01-03 08:52	96186.30	01-03 09:52	96621.50	18.66	0.37	60		#long:bol 率71% 分40
LONG	01-03 23:54	98095.10	01-04 00:54	97947.96	-11.57	-0.23	60		#long:bol 率71% 分40
LONG	01-04 04:32	97850.00	01-04 05:32	98150.00	11.37	0.23	60		#long:bol 率71% 分40
LONG	01-04 10:08	97600.90	01-04 11:08	97707.40	1.46	0.03	60		#long:bol 率71% 分40
LONG	01-04 22:04	98300.30	01-04 23:04	98311.40	-3.46	-0.07	60		#long:bol 率71% 分40
